phrase,sentiment_score
jump ship in January to avoid ridiculous schlock like this shoddy suspense thriller,1
of,2
to,2
entire budget,2
", Rampling gives a performance that could not be improved upon . '",4
offend,1
not,1
"the Americans ,",2
"Altogether , this is successful as a film , while at the same time being a most touching reconsideration of the familiar masterpiece .",4
some script weaknesses and,1
an,2
"Americans , and",2
a peculiar premise,2
to,2
"moving , effective",3
in and,2
is a refreshing departure from the now more prevalent technique of the docu-makers being a visible part of their work .,3
to justify its pretensions,1
with,2
is,2
help clear,2
ca n't,2
"butt their ugly heads in a regurgitation of cinematic violence that gives brutal birth to an unlikely , but likable , hero",3
inexorable passage,2
particular,2
great,4
"at stake , just a twisty double-cross you can smell a mile away",1
and,2
meat,2
thought,2
", I do n't give a damn , ' have never been more appropriate .",1
This,2
--,2
a hotdog,2
were tales that had been handed down since the beginning of time,3
take itself,2
"It proves quite compelling as an intense , brooding character study .",3
gives,2
on 30 pounds for the role,1
preschooler,2
movie,2
plot,2
cinema,2
for,2
of considerable force and truth,3
when such a good design turns out to be a cheap knockoff,1
"The Movie could have been made 40 years ago , and parents ' appreciation of it may depend on whether they consider that a good thing",2
One,2
really,2
Stealing Harvard aspires to comedic grand larceny but stands convicted of nothing more than petty theft of your time .,1
.,2
film,2
the depth and breadth of emotional intimacy,3
Kurosawa 's,2
occasionally two things,2
feels like a suicide race,1
from,2
the,2
ground,2
"a stylish and energetic one-shot ,",3
.,2
a movie,2
the,2
in his life,2
but,2
complete misses,1
which always relates to characters and story -RRB-,3
enamored,3
"produced such a script , but here 's guessing that spray cheese and underarm noises played a crucial role",1
",",2
cheerful enough but imminently forgettable rip-off,2
Something,2
of,2
"'s sweet , harmless , dumb , occasionally funny and about as compelling as a fishing show .",1
that smooth the moral stiffness with human kindness and hopefulness,3
10,3
gussied up with some fancy special effects,2
some solid performances and,3
implodes in a series of very bad special effects .,0
capable,3
all over the stage,2
a fortified sweet tooth,2
in its narrative form,2
maker,2
now,2
to care in this crude '70s throwback,2
constant referencing,2
Argento,3
to make PTA proud yet director Muccino 's characters are less worthy of Puccini than they are of daytime television,2
you,2
know-how,3
the speedy wham-bam effect,2
pleasant,4
costumes,2
who,2
's,2
.,2
young,2
's no denying the fun of watching De Niro and Crystal having fun,4
You,2
be awesome to consider,3
",",2
feels,2
is,2
some,2
of,2
"Harrison 's Flowers puts its heart in the right place , but its brains are in no particular place at all",1
...,2
intelligible story,3
devotion and,2
Looks and,2
` picture shows,2
the same,2
's all too rare in Hollywood 's hastier productions,2
not,1
and,2
realistic performances,3
this less-than-magic kingdom,2
examining its significance,3
for storytelling,2
to,2
witty,3
your time,2
Based,1
man,2
the prime sports cliche,1
thesis,2
presents it,2
again and again,2
to,2
Best,4
to hope that Nolan is poised to embark a major career as a commercial yet inventive filmmaker,3
"This is the sort of burly action flick where one coincidence pummels another , narrative necessity is a drunken roundhouse , and",1
come on,2
.,2
rises above the level of embarrassment,2
least interesting subject,1
drum,2
up,2
nonsensical jargon and stiff-upper-lip laboriousness,1
's,2
If,2
birth,2
and,2
ole,2
witty dialogue,4
memories,2
of the unseen forces of fate,2
tossed out the window with the intelligent French drama,1
gripping movie,3
bliss-less work,3
an,2
would,2
.,2
does,2
a photograph,2
the film,2
than,2
a masterpiece,4
best moments,3
films,2
and,2
any,2
from,2
explores,2
it work,2
's,2
this,2
dramatic tension or a symptom of artistic malnutrition,1
that covers all the usual ground,2
own,2
its,2
of director Joe Carnahan,2
have,2
It,2
bad lighting,1
complete,3
The French,2
we,2
in,2
much,2
big,2
oration,2
"aristocratic ,",2
full admission,1
"The Lion King was a roaring success when it was released eight years ago , but on Imax it seems better , not just bigger .",3
has,2
and,2
Cristo,2
for,2
from,2
having too much fun embellishing the misanthropic tale to actually engage it,1
is smack-dab in the middle of Dubya,2
charming,4
be seen at the very least for its spasms of absurdist humor,3
original,3
the situation,2
will likely go into sugar shock,2
plot holes,1
from,2
to,2
escapist fun,3
pictures,2
without,2
young,2
far richer,3
show in his Hong Kong films,2
Anspaugh 's,2
delirious,2
apply,2
all,2
"that shows Canadians can put gentle laughs and equally gentle sentiments on the button , just as easily as their counterparts anywhere else in the world",3
A beguiling splash of pastel colors and prankish comedy from Disney .,4
American love stories,3
"no story , folks",1
look,2
plot,2
in a while,2
.,2
the,2
individuals ',2
surprisingly cinematic experience,3
fascinating,3
decide,2
loyalty,3
about,2
put my finger on that elusive `` missing thing,1
the,2
.,2
to put my finger on that elusive `` missing thing,1
gay,2
Jaglom,2
none,2
Harry,2
Miller 's film is one of 2002 's involvingly adult surprises .,3
it 's brilliant,4
exhilaration,2
topic,3
is,2
the cast,2
but,2
"explores the fascinating connections between women , water , nature , and sexuality",4
snow emergency,2
"Even with a green Mohawk and a sheet of fire-red flame tattoos covering his shoulder , however , Kilmer seems to be posing , rather than acting .",1
the,2
",",2
a form of bravery,2
means,2
"anyone who appreciates intelligent , stylish moviemaking",4
talent,3
"Vera 's three actors -- Mollà , Gil and Bardem --",2
",",2
Johnny Dankworth 's,2
Walter,2
's about as exciting as a sunburn,1
and,2
",",2
it,2
good,3
own postmodern conceit,2
",",2
should have hidden it from everyone,0
is a man with enough charisma and audacity to carry a dozen films,3
with,2
the idiocy of the film industry,0
up,2
you wonder about changing the director and writer 's diapers,1
a snapshot,2
big enough,2
saddled with scenes that seem simply an ill fit,1
It 's a coming-of-age story we 've all seen bits of in other films -- but it 's rarely been told with such affecting grace and cultural specificity,3
hastier productions,1
in this crude '70s throwback,1
Formula 51 sank from quirky to jerky to utter turkey .,1
aging,2
and,2
many,2
"much anyone can do with a florid , overplotted , Anne Rice rock 'n' roll vampire novel before the built-in silliness of the whole affair defeats them",1
Susan,3
her,2
envisioned,3
one,2
itself,2
the,2
the,2
most portraying the idiocy of the film industry,2
another,2
de,2
in,2
a,2
to apply textural gloss,2
career,3
stage,2
about,2
Tara,2
just,2
in,2
.,2
Barbara,2
missing from Rabbit-Proof Fence,2
"As a tolerable diversion , the film suffices",1
",",2
"vapid , insensitive people",1
the actor -RRB-,2
in the audience,2
cash in on the popularity of its stars,2
long,2
At,2
first place,3
columns from Ladies Home Journal ...,2
fake,1
to the film,2
magic watch,2
"nascent industrialized world politics as a new art form , but far too clunky , didactic and saddled with scenes that seem simply an ill fit for this movie",0
while waiting for the ending credits and the deleted scenes montage to break the audience 's awkward silence,1
giant,2
of,2
on an igloo,2
books,2
nuanced in mood tics and dialogue,3
punch this picture so,1
skill and depth,3
"It does n't believe in itself , it has no sense of humor ... it 's just plain bored .",0
.,2
Amélie,2
.,2
'd been sitting naked on an igloo,1
seemed,2
a real anarchic flair,3
The,2
a,2
else far,2
to,2
n't,2
", ` Frankly , my dear , I do n't give a damn , ' have never been more appropriate .",0
chemistry,2
have,2
Woody Allen 's latest,2
the,2
more thoughtful,2
An intriguing cinematic omnibus and round-robin that occasionally is more interesting in concept than in execution .,3
see a lot of life on the reef,2
A,2
a taste of tangy new humor,3
so,2
the,2
amped-up,3
a severed limb,2
watching,2
to be engaging,3
The socio-histo-political treatise is told in earnest strides ... -LRB- and -RRB- personal illusion is deconstructed with poignancy .,3
hat,3
optimistic,3
satisfying,4
put,2
"will appeal to fans of Malcolm in the Middle and its pubescent star , Frankie Muniz",2
nice chills,3
much,2
a valuable time capsule to remind us of the devastating horror suffered by an entire people,4
so thick this time,2
's,2
Gerbosi 's,2
as The Full Monty -RRB-,2
seems to bubble up from the vast collective memory of the combatants,2
clumsy,1
the performances alone,3
as it cuts to the heart of American society in an unnerving way,2
black and white,2
being fertile,2
rent this movie,3
of,2
lifelong friendships,2
"pulled , but do n't treat me like a fool",2
a,2
devastating,0
the,2
"is inspiring , especially for aging hippies -LRB- this one included -RRB- .",3
appears that -LRB- Jackie -RRB- Chan 's US influence is starting to show in his Hong Kong films .,3
The idea of 49-year-old Roberto Benigni playing the wooden boy Pinocchio,2
Mom and Dad can catch some quality naptime along the way .,2
does not alienate either gender in the audience,3
a blaring heavy metal much of the time,2
Bill Paxton 's,2
Even,2
.,2
reserve enough,2
as good,3
no discernible craft,0
it,2
's,2
completely,2
the power,3
can,2
If,2
hero,3
Let 's hope,2
.,2
can make you a real deal on leftover Enron stock that will double in value a week from Friday,2
an English-language copy of the film that inspired it,3
drawn characterizations,2
seldom,2
Equilibrium is what George Orwell might have imagined had today 's mood-altering drug therapy been envisioned by chemists in 1949 .,2
Hollywood,2
",",2
reason,2
is an egotistical endeavor from the daughter of horror director Dario Argento -LRB- a producer here -RRB-,2
of,2
"destroy , blood ties",1
",",2
almost unbearable portrait,0
to,2
and,2
a hint,3
fine,3
",",2
Once -LRB- Kim -RRB- begins to overplay the shock tactics and bait-and-tackle metaphors,2
conveys a simple message in a visual style that is willfully overwrought,2
but,2
boxing,2
few,2
than,2
no tension --,2
his latest has nothing going for it,0
", Jacquot takes a slightly anarchic approach that works only sporadically .",1
heartfelt,3
Dankworth,2
of characters,2
Van Wilder,2
"is a good script , good dialogue , funny even for adults .",4
without,2
roaring,2
",",2
no discernible craft and,1
"the thin characterizations , nonexistent plot and",0
"forced and heavy-handed , and occasionally simply unpleasant",1
Another,2
stylistic juggling act,2
this story,2
", it takes us on a roller-coaster ride from innocence to experience without even a hint of that typical kiddie-flick sentimentality .",3
Oedekerk,2
is,2
of things he does well,3
"For all the writhing and wailing , tears , rage and opium overdoses , there 's no sense of actual passion being washed away in love 's dissolution .",1
a film that deftly balances action and reflection as it lets you grasp and feel the passion others have for their work .,4
.,2
Leon,3
Mafia,2
blend,2
that,2
densely constructed,2
the best movies,4
"a lesser Harrison Ford movie - Six Days , Seven Nights , maybe ,",2
",",2
Notting Hill ``,2
Care deftly captures the wonder and menace of growing up,3
who,2
recommend this film because for every thing it does right there,3
"This is an egotistical endeavor from the daughter of horror director Dario Argento -LRB- a producer here -RRB- , but her raw performance and utter fearlessness make it strangely magnetic .",3
a WWF fan,2
"It 's a much more emotional journey than what Shyamalan has given us in his past two movies , and",3
2002 's involvingly adult surprises,2
written and directed,2
giggle-inducing comedy,3
it,2
Is It,2
equally,2
any,2
engage,3
equally gentle sentiments,3
"aristocratic , luminous yet careworn in Jane Hamilton 's exemplary costumes",3
the ups and downs,2
interesting,3
and,2
that,2
little more than play an innocuous game of fill-in - the-blanks with a tragic past .,1
commerce,2
fidget through ten pseudo-serious minutes,1
're not nearly,2
of,2
Vera 's,2
the,2
can relate to the search for inner peace by dramatically depicting the lives of others onstage,3
the,2
heinous,0
great,4
this is the kind of material where the filmmakers should be very careful about raising eyebrows,1
whose,2
enough charisma and audacity,3
as equivalent evangelical Christian movies,1
running,2
think,2
coincidence,2
the finest chef,3
to win the championship,2
absolutely,3
quick-cut editing,2
extended cheap,1
characters,2
underpinnings,2
there,2
Kept aloft,2
that could not find a buyer to play it on the tube,1
"'s so mediocre , despite the dynamic duo on the marquee , that we just ca n't get no satisfaction .",1
so frequently,2
The Tune,2
cool and crowd-pleasing as a documentary can get,4
"An operatic , sprawling picture that 's entertainingly acted , magnificently shot and gripping enough to sustain most of its 170-minute length .",3
",",2
of the King,2
amuse and provoke adventurous adults in specialty venues .,3
this,2
to his formula of dimwitted comedy and even dimmer characters,0
treat me,2
fortune,2
every,2
",",2
"kids , and no doubt",2
"insightful , empathetic performances",4
by a cinematic gymnast having too much fun embellishing the misanthropic tale to actually engage it,1
two personas,2
them to discern flimsy screenplays,1
-LRB- and,2
movie,2
Jaglom ... put -LRB- s -RRB- the audience,2
situation,2
gay,2
kidnapping,2
"The script kicks in , and Mr. Hartley 's distended pace and foot-dragging rhythms follow .",1
effects,2
of,2
be,2
about,2
transporting,2
pulse,1
unintentional howlers and numerous yawns,2
a long and clunky ending,1
never,2
.,2
who,2
best,4
The,2
.,2
is,2
of,2
years,2
",",2
.,2
"in the lively , convincing dialogue she creates for her characters",4
's,2
the,2
",",2
the,2
a solid mixture of sweetness,3
to,2
sensibility and,3
.,2
the latrine,1
before,2
pretentious,1
on,2
A sequence,2
A subject,2
not,1
all three,2
a,2
that,2
From,1
\/ You both look and sound great,3
helping hand,2
The best film about baseball to hit theaters since Field of Dreams,3
cast,2
see Recoing 's bizzarre reaction,1
everything,2
"There is a fabric of complex ideas here , and feelings that profoundly deepen them .",3
"Unfortunately , it appears that -LRB- Jackie -RRB- Chan 's US influence is starting to show in his Hong Kong films .",2
itself to be a sudsy tub of supernatural hokum,2
Adams,2
hollow,1
the powerful work,4
Mike,2
franchise game,2
enough,2
The,2
sexual,2
Ben,2
increasing,2
",",2
something needed to balance out the violence -RRB-,2
Buy and Accorsi,2
seems positively,3
anywhere else in the world,2
in its rhythms and resonance,3
"It 's of the quality of a lesser Harrison Ford movie - Six Days , Seven Nights , maybe , or that dreadful Sabrina remake .",1
than,2
less,2
have chemistry both as friends and lovers,3
Would n't one,2
",",2
Big,2
.,2
"who appreciates intelligent , stylish moviemaking",4
script,2
"be funny ,",2
brushed,2
's,2
we,2
amounts,2
semi-coherent,2
made up,2
juvenile and near-xenophobic,1
"Oscar Wilde 's masterpiece , The Importance of Being Earnest",4
formula,2
"'s refreshing to see a cartoon that knows what it is , and knows the form 's history",3
not,1
good acting,3
play,2
Just,2
why,2
this film,2
's,2
his past two movies,2
being better than he is in this performance,3
and,2
has,2
who take,2
Camera,2
a,2
than,2
shallowly characterized,2
"will wish the movie were less simplistic , obvious , clumsily plotted and shallowly characterized",0
a,2
"Feels haphazard , as if the writers mistakenly thought they could achieve an air of frantic spontaneity by simply tossing in lots of characters doing silly stuff and stirring the pot .",0
?,2
.,2
your DVD player,2
here,2
to the other,2
a,2
genuinely,3
have any relation,2
has,2
funny,3
ca n't,2
As,2
indie,2
The next generation,2
the Entertainer,2
in,2
truly cinematic in scope,4
gentle,3
that it is made up of three episodes of a rejected TV show,0
on,2
he is one of the luckiest men alive,4
A stunning and overwhelmingly cogent case for Kissinger as a calculating war,4
out,1
drama that encompasses a potent metaphor for a country still dealing with its fascist past,2
lyrical work,3
a,2
just,2
whole lot,2
Indifferently implausible popcorn programmer of a movie,0
at,2
the,2
"There are simply too many ideas floating around -- part farce , part Sliding Doors , part pop video -- and",1
characters,2
tantalizes by offering a peep show into the lives of the era 's creme de la celluloid .,3
fitfully,2
of imagery,2
value,2
A,2
one thing this world needs less of,1
of war,1
return to form that can comfortably sit among Jean-Luc Godard 's finest work,4
and,2
encompasses,2
to,2
a lot better,3
wham-bam effect,2
tales,2
directed with resonance by Ilya Chaiken .,2
stubbly,2
can be no other explanation .,2
passage,2
a new and ingenious angle,3
redundant to say so,1
culture,2
and,2
",",2
of,2
entirely too much focus,2
playing smart people,2
Communion,2
All About the Benjamins is a totally formulaic movie,2
running,2
bring anything new,3
eponymous,2
this film,2
hamfisted,1
force,2
a,2
deeply,2
"pure ' 87 , with a halfhearted twist on its cautionary message : Fatal Attraction = do n't have an affair with a nutjob ; Unfaithful = do n't",2
"There is nothing outstanding about this film , but it is good enough and will likely be appreciated most by sailors and folks who know their way around a submarine",3
roundhouse,2
whose balletic hotdogging occasionally ends in bone-crushing screwups,1
gentle humor that chides the absurdity of its protagonist 's plight,2
"Harris commands the screen , using his frailty to suggest the ravages of a life of corruption and ruthlessness .",3
\/,2
a fine little amuse-bouche to keep your appetite whetted,4
so,2
whose sexual passion for her husband becomes an obsession,2
The jabs,2
insufferable the character,1
"is appropriately titled , given the heavy-handedness of it drama",2
movie,2
it a suitable entry into the fest circuit,2
human,2
at the same time,2
Jaglom ... put -LRB- s -RRB- the audience in the privileged position of eavesdropping on his characters,3
real people,2
the worse,2
self-serious,2
pop numbers,2
is,2
"It 's hard to like a film about a guy who is utterly unlikeable , and Shiner , starring Michael Caine as an aging British boxing promoter desperate for a taste of fame and fortune , is certainly that .",1
"wo n't make much of a splash when it 's released ,",0
that,2
"than dark , decadent truffle",2
little,2
Sorimachi,2
forced to watch the host and hostess,1
in,2
with,2
uncomfortably close,1
a,2
much,2
general and theatrical,2
"his co-director , Tony R. Abrams , in their feature debut",2
elusive `` missing thing,2
Yu,2
",",2
impossible to look away,4
control,2
"began as an intriguing look at youth fizzles into a dull , ridiculous attempt at heart-tugging",1
that,2
absurdist,1
Hollywood remake,1
It,2
of friendship and sexual identity,3
give you,3
clone,2
minor tinkering,1
college,3
", melodramatic estrogen opera",2
",",2
"a natural , unforced style",2
old-fashioned,2
Malcolm,2
blends music,2
Hollywood tension,2
certainly,3
provoke,2
either of Val Kilmer 's two personas interesting or worth caring about,1
"a fresh , quirky charm",3
.,2
audience,2
and,2
the powerful work of his co-stars,3
in a long time,2
It 's a bit disappointing that it only manages to be decent instead of dead brilliant .,1
be,2
small-screen,2
Makhmalbaf,2
audience,2
film,2
the Holy Land and,2
cruelty,2
"has taken this mothball-y stuff and made a rather sturdy , old-fashioned entertainment out of it",3
the kind,2
more,2
...,2
factor,2
deep to uncover it,2
of,2
film,2
with this film,2
somewhat,2
gets,2
that,2
A good piece of,3
.,2
",",2
both,2
solid,3
miss,1
PG-13-rated piffle,1
ai n't pretty,1
just,2
often hackneyed or just plain,1
unemployment,1
a,2
is,2
precinct,2
it,2
's too,2
the screenplay,2
",",2
is,2
amuse-bouche to keep your appetite,3
slightly anarchic approach,1
Jane Goodall 's Wild Chimpanzees is short on the thrills the oversize medium demands .,2
humor,4
Parker nor,2
"Try as I may , I ca n't think of a single good reason to see this movie , even though everyone in my group extemporaneously shouted , ` Thank you !",0
unseemly,2
a symptom,2
's a much more emotional journey than what Shyamalan has given us in his past two movies,4
's a work by an artist,3
the,2
stale candy,2
also,2
deep and psychological,3
n't,2
a passion,2
"me miss Hitchcock , but also",2
a worthy addition to the growing canon of post-Saving Private Ryan tributes to the greatest generation,4
its cautionary message,3
Worth watching for Dong Jie 's performance -- and for the way it documents a culture in the throes of rapid change .,3
the,2
envious,2
Though,2
searing,2
Nervous breakdowns,2
those daytime programs ' slickness and sophistication,2
performances,2
",",2
be to underestimate just how dangerous entertainments like it can be,2
coming-of-age,2
us,3
released then,2
the,2
he,2
do n't settle for this Imposter .,0
those rare occasions when the narrator stops yammering,2
has made from its other animated TV series,2
charm,3
so,2
plays,2
its end credits blooper reel,2
Few films capture so perfectly the hopes and dreams of little boys on baseball fields as well as the grown men who sit in the stands .,4
power,2
is,2
", Punch-Drunk Love is never heavy-handed .",3
locales,1
unfamiliar,1
.,2
The piquant story needs more dramatic meat on its bones .,1
"Skins has a right to yawp , and",2
that saves his pathos from drippiness,2
appears,2
got,2
You 'll gasp appalled and laugh outraged,4
to,2
in,2
soundtrack,2
ones that involve deep fryers and hamburgers,2
space,2
10 minutes,2
sunk by the film 's primitive approach,2
Time,2
"jokes ,",2
a,2
could,2
ruthlessness,1
tracking,2
fascinating,3
ca n't say that I liked Homeboy,0
Comes,2
its less-than-objective stance,1
sometimes illegal,1
a refreshingly serious look at young women,4
.,2
in this literate French comedy,2
effects,2
lot,2
if,2
at least 10,2
"fulfill your wildest fantasies about being a different kind of time traveler , while happily killing 94 minutes",2
a Lifetime-channel kind,2
.,2
--,2
piece,2
Sacrifices the value of its wealth of archival foot-age with its less-than-objective stance .,1
"From the opening scenes , it 's clear that All About the Benjamins is a totally formulaic movie .",1
much,2
to,2
seems positively French in its rhythms and resonance,3
absurdities,1
does nothing new with the old story,1
's,2
masterpiece,4
daring,2
hear,2
too,2
a,2
the,2
or,2
but,2
big-screen entry,2
spots,2
its,2
Meyer 's,2
affable cast,2
and,2
fame and fortune,3
taste,2
The subtle strength of `` Elling '',3
a simple diversion,2
beach scene,2
emphasizes the spare precision of the narratives and,3
complexities,1
creature,2
"those who love alternate versions of the Bard , particularly",3
audience,2
leaves a hole in the center of The Salton Sea,1
much,2
gratuitous,2
screen,2
might as well,2
've,2
explores,2
her depth,2
comedy,3
Tales,2
unendurable,0
screen,2
its,2
way,2
hard,2
with,2
the way it accumulates power and depth,3
likely,2
soaring,2
tactics and bait-and-tackle metaphors,2
correctness,2
an actor that provides Frailty with its dark soul,3
its,2
horror concept,1
Lathan and Diggs,2
questionable,1
treat,3
way,2
relishes,2
So refreshingly incisive,3
"will fulfill your wildest fantasies about being a different kind of time traveler , while happily killing 94 minutes .",4
it 's churning ground that has long passed the point of being fertile,2
talented,3
dying,1
cartoonish,2
gorgeous,3
robbery may be the only way to pay for his next project,1
could,2
just,2
from the best of the series,4
different,2
"Skins has a right to yawp , and we have a right to our grains of salt",1
much fun,4
to,2
of thing,2
quirkiness,2
campy,2
an absolutely riveting conviction,4
choirs,2
seems to have no goal and no urgency,1
"short , carefully placed and dead-center",2
Fincher,2
is small change,1
",",2
.,2
.,2
"Like Mike is a winner for kids , and no doubt a winner for Lil Bow Wow , who can now add movies to the list of things he does well .",4
archival foot-age with its less-than-objective stance,2
even,2
every moviegoer 's appetite,3
certain,3
crime,1
It 's a much more emotional journey than what Shyamalan has given us in his past two movies,3
fleetingly,2
"are at least 10 complete misses , many coming from the amazingly lifelike Tara Reid , whose acting skills are comparable to a cardboard cutout .",0
likely to remember the haunting images than the plot holes,2
asks,2
moody,2
to,2
to prove anything,2
of potential,2
TV,3
"something about it that feels incomplete , as if the real story starts just around the corner",1
of,2
",",2
but,2
the price one,2
are written and directed by people who could n't pass an entrance exam,0
the writers,2
could,2
Housekeeping 's,2
"the sheer , selfish , wound-licking , bar-scrapping doggedness",2
are,2
of embarrassment,1
a film 's,2
"There 's really only one good idea in this movie ,",2
The,2
Big Fat Greek Wedding,2
this particular result,2
few movies,2
it better,2
slice,2
Japanese filmmaker Akira Kurosawa 's Ran,2
go to the movies for,2
just,2
to,2
intermittent,2
floating around,2
a compliment,3
can,2
female,2
a bad high school production of Grease,0
", funny , highly enjoyable",4
Even if you do n't think -LRB- Kissinger 's -RRB- any more guilty of criminal activity than most contemporary statesmen,2
The,2
",",2
the,2
the regime 's talking-head survivors,3
to go over the edge,2
to,2
Nothing in Waking Up in Reno,2
",",2
it 's savvy about celebrity and has more guts and energy than much of what will open this year,3
about as exciting,2
convictions,2
and,2
reimagine it,2
surrounds,2
no matter,2
audience,2
should have called it Gutterball .,1
G,2
hope and,2
19th century,2
is less like a children 's movie than a recruitment film for future Hollywood sellouts,1
.,2
"as moving , uplifting and funny as ever .",3
"fresh , quirky charm",3
a,2
young Gaghan 's,2
"'s ... tremendous energy from the cast , a sense of playfulness and excitement that seems appropriate",4
own,2
the,2
thriller,3
at,2
it,2
really,2
chuckle,3
by the filmmakers to force-feed James Bond,2
",",2
film,2
set,2
most intriguing,3
A,2
the,2
compelling and brilliantly,4
rather,2
No way,1
and,2
"An interesting story with a pertinent -LRB- cinematically unique -RRB- message , told fairly well and scored to perfection , I found myself struggling to put my finger on that elusive `` missing thing . ''",3
",",2
whose promising,2
to,2
the daughter,2
"a rather sturdy , old-fashioned entertainment out of it",3
past,2
",",2
"pointless and depressing , even if you",0
"is exactly what the title indicates , a report .",2
it,2
The Movie,2
to the marrow,2
superbly,3
"missed opportunity and trifle than dark , decadent truffle",1
ability to convey grief and hope,2
delirious celebration,4
has leukemia,2
portrait,2
We need kidnapping suspense dramas right now like we need doomsday thrillers,2
like,2
fun,4
of,2
is a glorious failure,0
the,2
"routine , harmless diversion and little else .",2
the,2
while undeniably interesting,3
.,2
better than the pitiful Insurrection,3
thing,2
relentlessly brutal and brutally intelligent,3
years,2
not,1
art,2
in,2
pool,2
too self-conscious,1
"Paid In Full is so stale , in fact , that its most vibrant scene is one that uses clips from Brian De Palma 's Scarface .",0
chuckles,1
with,2
"nature , and sexuality",2
mysterious,3
.,2
a film,2
a,2
"of a people who live among us , but not necessarily with us",2
looks as if it was made without much thought -- and,1
God that is accessible,3
.,2
Director Uwe Boll and the actors provide scant reason to care in this crude '70s throwback .,1
it 's the kind of movie that makes you want to like it,2
-LRB- T -RRB- his beguiling Belgian fable,3
Ship,2
enjoyable,3
surrounding,2
"A muckraking job , the cinematic equivalent of a legal indictment , and a fairly effective one at that .",2
being a visible part of their work,2
"The whole is quite entertaining , but",3
he,2
mild culture,2
"is an enjoyable and frankly told tale of a people who live among us , but not necessarily with us .",3
a,2
Beneath,2
its,2
Down video,3
some solid performances and witty dialogue,3
revolve,2
but,2
As a first-time director,2
the prime,3
of dissidents in the streets,1
and,2
"a riveting , pulse intensifying escapist adventure",4
the,2
does n't serve up a whole lot of laughs,1
It,2
a film that defies categorisation,2
all,2
egg,2
of,2
's,2
view,2
more clear,2
of,2
legendary,3
creative,4
much,2
alientation,1
this movie,2
This,2
change,2
",",2
by,2
the,2
insight,2
Historical dramas fused with love triangle is a well worn conceit .,2
.,2
that,2
"Pretension , in its own way",1
that,2
"butt their ugly heads in a regurgitation of cinematic violence that gives brutal birth to an unlikely , but likable , hero . '",2
skip,1
", it does n't have any huge laughs in its story of irresponsible cops who love to play pranks",2
uncomplicated,3
any age,3
"is a bright , light modern day family parable that wears its heart on its sleeve for all to see",3
good sitcom,3
the reality,2
"Writer\/director Joe Carnahan 's grimy crime drama is a manual of precinct cliches , but",1
The movie,2
to,2
roots,2
all,2
next project,2
stunning and,4
as,2
--,2
heart,2
a morality thriller,2
up,2
trifle that delivers its share of laughs and smiles,3
"While it regards 1967 as the key turning point of the 20th century , and returns again and again to images of dissidents in the streets , it 's alarmingly current .",2
"talk about early rap records -LRB- Sugar Hill Gang , etc. -RRB-",2
idiotic,0
got,2
some,2
've all seen bits of in other films,2
the,2
pessimism,1
It 's just disappointingly superficial,1
.,2
a producer here,2
to,2
other,2
awful,2
breaking the spell,2
emotional connections,3
monstrously,1
British court 's,2
thoughtful treatises,2
good,3
hypocrisy and love,2
.,2
of tradition,2
Christian,3
On,2
accent the humor of Wilson 's plight,2
its storyline,2
tear,2
could young women of any size receive ?,2
gasbag thesis,2
"ambling , broad comedy",3
charming,4
The,2
the,2
spell,2
via computer animated Old Testament tale of Jonah and the Whale,2
be fooled by the impressive cast list,1
just feels generic,1
it,2
of tragic loss and increasing decrepitude,1
Kennedy,2
bad high school production,0
Son,2
its outer space setting,2
pity,1
"three terminally depressed , mostly inarticulate , hyper dysfunctional families for the price of one",1
a,2
support,2
toss them,2
",",2
a filmmaker,2
also,2
mighty,3
stop time,3
match-up,2
thrilling,4
when,2
fascinating arc,3
I Spy makes its big-screen entry with little of the nervy originality of its groundbreaking small-screen progenitor .,2
in,2
"showcases Carvey 's talent for voices ,",3
A giggle-inducing comedy with snappy dialogue and winning performances by an unlikely team of Oscar-winners :,4
"the dizzying heights achieved by motocross and BMX riders , whose balletic hotdogging occasionally ends in bone-crushing screwups",3
subject,2
a Triumph,4
acted psychological drama,2
extraordinary strength and laser-beam eyes,3
it,2
an epic,3
leads,2
its,2
want to believe,2
playing the wooden boy Pinocchio,2
a film in theaters,2
but,2
suicide,1
as `,2
too much heart,1
Hollywood playas,2
Alabama,2
absolutely ca n't miss it .,4
I,2
"gives brutal birth to an unlikely , but likable , hero",3
its stars,2
intriguing,3
quotient,2
the big screen,2
"For all its impressive craftsmanship , and despite an overbearing series of third-act crescendos , Lily Chou-Chou never really builds up a head of emotional steam .",1
"to be fun , and bouncy , with energetic musicals",3
that,2
a static series,1
than,2
the more,2
occasionally,2
"be kind of heartwarming , nonetheless",3
"'s John Turturro , who 's simply fab as a Spanish butler with a foot fetish .",2
technical virtuosity,3
at,2
do,2
is,2
will,2
heel,2
only one good idea in this movie,2
fitfully,2
AIDS,1
",",2
As the two leads,2
to a mainstream American audience,2
The Wild Thornberrys Movie is a jolly surprise .,3
inspired me to think of its inhabitants as anything more than markers in a screenplay,2
particularly interesting,3
has,2
cheerful,4
of incendiary genius,4
really harnesses to full effect the energetic cast .,4
commodified,2
at least one,2
It 's a comedy full of gentle humor that chides the absurdity of its protagonist 's plight,3
",",2
Disney sentimentality,2
this,2
if I 'd been sitting naked on an igloo,1
is a refreshingly serious look at young women .,3
fairly well,3
of a movie,2
manners and,2
the cross-cultural differences,2
